"cancellation_policy","room_type","construction_year","service_fee","minimum_nights","number_of_reviews","reviews_per_month","review_rate_number","availability_365","price_usd","months_active","max_stays_per_month"
"moderate","Private room",2003,239,5,34,1.58,2,86,1195,21.5189873417721,6.2
"flexible","Private room",2004,230,5,6,0.52,4,188,1149,11.5384615384615,6.2
"strict","Private room",2017,150,15,6,0.27,3,0,749,22.2222222222222,2.06666666666667
"strict","Entire home/apt",2021,157,5,19,0.28,5,295,783,67.8571428571428,6.2
"flexible","Private room",2013,94,5,16,0.7,4,354,472,22.8571428571429,6.2
"moderate","Entire home/apt",2003,85,40,15,0.39,5,324,423,38.4615384615385,0.775
"flexible","Entire home/apt",2003,31,2,7,0.52,2,0,156,13.4615384615385,15.5
"flexible","Private room",2010,226,2,123,2.81,5,128,1132,43.7722419928826,15.5
"flexible","Entire home/apt",2010,92,3,31,0.63,4,263,461,49.2063492063492,10.3333333333333
"moderate","Entire home/apt",2018,227,2,15,1.33,4,0,1133,11.2781954887218,15.5
"strict","Private room",2017,10,1,22,3.25,3,342,50,6.76923076923077,31
"moderate","Private room",2022,203,1,58,2.48,5,16,1013,23.3870967741935,31
"moderate","Private room",2010,206,2,78,2.2,3,82,1032,35.4545454545455,15.5
"flexible","Private room",2021,156,3,19,0.52,2,180,780,36.5384615384615,10.3333333333333
"strict","Entire home/apt",2005,34,30,11,0.38,4,4,169,28.9473684210526,1.03333333333333
"flexible","Entire home/apt",2005,80,2,70,4.25,4,54,398,16.4705882352941,15.5
"flexible","Entire home/apt",2013,122,2,166,4.44,1,358,611,37.3873873873874,15.5
"flexible","Entire home/apt",2003,36,2,67,2.27,2,250,182,29.5154185022026,15.5
"moderate","Entire home/apt",2007,56,3,1,0.01,1,191,280,100,10.3333333333333
"flexible","Private room",2005,11,5,1,0.05,2,0,57,20,6.2
"strict","Private room",2005,22,30,1,0.61,4,340,111,1.63934426229508,1.03333333333333
"flexible","Entire home/apt",2015,79,3,106,1.66,4,421,395,63.855421686747,10.3333333333333
"strict","Entire home/apt",2022,125,2,15,0.3,1,401,624,50,15.5
"moderate","Entire home/apt",2015,70,2,77,5.19,3,0,350,14.8362235067437,15.5
"flexible","Private room",2009,128,1,4,0.06,3,177,641,66.6666666666667,31
"strict","Entire home/apt",2005,158,6,3,2.37,4,1,791,1.26582278481013,5.16666666666667
"flexible","Entire home/apt",2009,151,12,13,0.34,3,244,755,38.2352941176471,2.58333333333333
"moderate","Entire home/apt",2021,43,4,9,0.14,5,58,214,64.2857142857143,7.75
"moderate","Shared room",2009,210,1,12,4.14,3,180,1051,2.89855072463768,31
"moderate","Entire home/apt",2008,229,6,15,3.19,5,63,1144,4.70219435736677,5.16666666666667
"moderate","Private room",2020,149,3,86,2.47,5,38,746,34.8178137651822,10.3333333333333
"moderate","Entire home/apt",2020,25,1,1,1,5,77,125,1,31
"strict","Entire home/apt",2020,35,3,5,0.09,5,139,175,55.5555555555556,10.3333333333333
"strict","Private room",2010,164,1,3,0.22,3,0,818,13.6363636363636,31
"moderate","Private room",2004,211,3,6,0.74,5,0,1057,8.10810810810811,10.3333333333333
"strict","Private room",2014,57,4,131,4.17,4,115,285,31.4148681055156,7.75
"moderate","Entire home/apt",2019,36,4,10,0.72,5,0,182,13.8888888888889,7.75
"strict","Entire home/apt",2014,81,3,3,0.16,4,0,405,18.75,10.3333333333333
"strict","Private room",2015,21,1,7,0.72,3,364,107,9.72222222222222,31
"moderate","Private room",2018,122,5,1,0.16,4,362,610,6.25,6.2
"strict","Entire home/apt",2008,205,3,21,4.44,3,121,1025,4.72972972972973,10.3333333333333
"strict","Entire home/apt",2018,104,1,57,2.41,5,336,519,23.6514522821577,31
"moderate","Entire home/apt",2020,195,30,2,0.16,5,66,977,12.5,1.03333333333333
"moderate","Private room",2021,29,5,2,1.2,4,0,144,1.66666666666667,6.2
"strict","Entire home/apt",2008,138,2,22,0.69,2,21,692,31.8840579710145,15.5
"flexible","Private room",2013,177,7,5,0.16,1,0,885,31.25,4.42857142857143
"strict","Entire home/apt",2019,11,3,7,0.38,5,12,56,18.4210526315789,10.3333333333333
"flexible","Private room",2016,162,3,8,0.17,5,225,810,47.0588235294118,10.3333333333333
"flexible","Entire home/apt",2022,45,3,289,3.3,2,253,225,87.5757575757576,10.3333333333333
"flexible","Entire home/apt",2014,221,14,1,0.08,5,0,1104,12.5,2.21428571428571
"strict","Entire home/apt",2008,114,30,16,0.48,3,0,572,33.3333333333333,1.03333333333333
"flexible","Private room",2016,234,4,6,0.14,2,269,1168,42.8571428571429,7.75
"strict","Entire home/apt",2014,226,4,12,1.86,4,29,1131,6.45161290322581,7.75
"moderate","Private room",2006,181,8,11,0.35,3,0,906,31.4285714285714,3.875
"strict","Private room",2018,171,1,5,0.07,5,363,857,71.4285714285714,31
"strict","Private room",2004,188,20,107,1.29,2,271,941,82.9457364341085,1.55
"strict","Private room",2005,34,3,27,1.81,4,0,170,14.9171270718232,10.3333333333333
"strict","Private room",2004,73,3,9,0.4,3,0,364,22.5,10.3333333333333
"strict","Private room",2009,23,5,1,0.02,2,246,115,50,6.2
"strict","Private room",2020,233,2,14,0.46,1,0,1167,30.4347826086957,15.5
"flexible","Entire home/apt",2010,223,30,9,0.16,5,258,1115,56.25,1.03333333333333
"moderate","Entire home/apt",2022,55,4,23,3.05,4,230,275,7.54098360655738,7.75
"moderate","Private room",2013,164,1,13,0.9,5,160,819,14.4444444444444,31
"strict","Private room",2014,178,2,108,3.2,5,20,890,33.75,15.5
"strict","Private room",2021,213,30,4,0.86,5,265,1063,4.65116279069767,1.03333333333333
"moderate","Entire home/apt",2010,108,2,3,0.06,4,96,539,50,15.5
"strict","Shared room",2019,172,7,6,0.7,5,311,859,8.57142857142857,4.42857142857143
"flexible","Entire home/apt",2008,47,1,11,0.91,2,300,236,12.0879120879121,31
"moderate","Private room",2018,177,1,86,3.47,2,172,884,24.7838616714697,31
"moderate","Entire home/apt",2011,87,2,46,0.54,2,0,437,85.1851851851852,15.5
"flexible","Private room",2005,195,2,10,0.97,5,178,977,10.3092783505155,15.5
"moderate","Entire home/apt",2004,134,30,40,0.8,3,0,668,50,1.03333333333333
"moderate","Private room",2022,208,2,12,0.79,4,2,1042,15.1898734177215,15.5
"flexible","Private room",2020,68,30,1,0.03,4,215,342,33.3333333333333,1.03333333333333
"flexible","Private room",2006,23,30,3,0.34,5,241,113,8.8235294117647,1.03333333333333
"flexible","Private room",2016,172,1,74,2.28,3,156,862,32.4561403508772,31
"strict","Entire home/apt",2014,82,5,2,0.17,3,16,408,11.7647058823529,6.2
"strict","Entire home/apt",2017,221,1,6,0.54,4,0,1104,11.1111111111111,31
"moderate","Private room",2017,122,5,21,0.34,5,10,610,61.7647058823529,6.2
"flexible","Entire home/apt",2022,86,2,3,0.04,3,4,432,75,15.5
"moderate","Private room",2007,55,30,2,0.38,4,262,276,5.26315789473684,1.03333333333333
"flexible","Entire home/apt",2004,131,3,92,3.26,3,4,656,28.2208588957055,10.3333333333333
"flexible","Private room",2005,123,1,22,3.28,5,362,614,6.70731707317073,31
"flexible","Private room",2014,10,2,2,0.07,2,0,51,28.5714285714286,15.5
"moderate","Entire home/apt",2003,140,14,12,0.17,5,0,701,70.5882352941176,2.21428571428571
"flexible","Private room",2005,194,30,27,0.83,5,306,968,32.5301204819277,1.03333333333333
"flexible","Entire home/apt",2015,116,3,4,4,5,245,580,1,10.3333333333333
"strict","Private room",2020,194,1,155,5.74,4,179,972,27.0034843205575,31
"moderate","Shared room",2019,192,1,1,0.05,3,0,961,20,31
"moderate","Private room",2005,35,1,26,5.23,5,0,173,4.97131931166348,31
"strict","Private room",2013,160,1,39,1.57,5,360,799,24.8407643312102,31
"moderate","Private room",2003,120,2,1,0.02,1,423,599,50,15.5
"strict","Private room",2019,168,3,22,0.32,4,177,839,68.75,10.3333333333333
"flexible","Private room",2018,147,3,28,0.35,2,267,737,80,10.3333333333333
"moderate","Entire home/apt",2020,239,3,57,2.89,2,182,1195,19.7231833910035,10.3333333333333
"moderate","Private room",2012,224,1,78,7.77,3,152,1118,10.03861003861,31
"strict","Private room",2012,48,1,18,5.57,2,91,240,3.23159784560144,31
"moderate","Private room",2007,62,1,26,0.72,5,363,311,36.1111111111111,31
"flexible","Entire home/apt",2003,224,2,8,0.71,2,0,1122,11.2676056338028,15.5
"moderate","Private room",2020,201,7,2,0.32,2,212,1003,6.25,4.42857142857143
"moderate","Private room",2022,170,3,11,4.34,3,318,848,2.53456221198157,10.3333333333333
"moderate","Entire home/apt",2018,231,6,63,1.9,4,31,1157,33.1578947368421,5.16666666666667
"flexible","Entire home/apt",2014,100,4,4,0.13,4,0,502,30.7692307692308,7.75
"strict","Private room",2012,110,5,395,5.16,3,1,552,76.5503875968992,6.2
"moderate","Entire home/apt",2005,13,4,5,0.23,5,5,63,21.7391304347826,7.75
"flexible","Private room",2015,227,1,1,0.04,3,0,1134,25,31
"flexible","Entire home/apt",2018,27,1,16,0.41,1,417,136,39.0243902439024,31
"moderate","Entire home/apt",2021,90,3,6,0.55,3,21,451,10.9090909090909,10.3333333333333
"moderate","Private room",2008,119,30,68,0.81,2,0,593,83.9506172839506,1.03333333333333
"moderate","Entire home/apt",2015,191,3,3,0.42,3,0,956,7.14285714285714,10.3333333333333
"strict","Private room",2013,109,10,3,0.05,2,28,547,60,3.1
"moderate","Private room",2021,172,6,18,0.51,1,45,858,35.2941176470588,5.16666666666667
"strict","Entire home/apt",2020,201,20,1,0.09,4,341,1005,11.1111111111111,1.55
"moderate","Private room",2016,197,3,1,0.03,5,0,986,33.3333333333333,10.3333333333333
"moderate","Entire home/apt",2018,37,2,2,0.03,5,72,183,66.6666666666667,15.5
"moderate","Entire home/apt",2008,223,3,42,1.62,2,303,1115,25.9259259259259,10.3333333333333
"flexible","Private room",2019,160,2,2,0.05,3,98,799,40,15.5
"moderate","Private room",2004,207,1,4,0.7,3,358,1033,5.71428571428571,31
"strict","Private room",2018,131,3,2,0.97,4,282,655,2.06185567010309,10.3333333333333
"strict","Entire home/apt",2014,23,2,7,2.5,2,265,115,2.8,15.5
"moderate","Entire home/apt",2017,91,5,75,3.49,4,278,453,21.4899713467049,6.2
"moderate","Shared room",2013,226,4,14,1.56,5,62,1130,8.97435897435897,7.75
"strict","Entire home/apt",2016,39,30,5,0.12,2,58,197,41.6666666666667,1.03333333333333
"strict","Entire home/apt",2013,111,3,25,1.8,3,0,553,13.8888888888889,10.3333333333333
"flexible","Private room",2012,56,2,10,0.28,3,306,280,35.7142857142857,15.5
"flexible","Private room",2017,83,1,17,0.16,5,63,417,106.25,31
"moderate","Entire home/apt",2011,100,30,1,0.08,5,177,502,12.5,1.03333333333333
"moderate","Entire home/apt",2009,136,4,49,2.31,5,3,679,21.2121212121212,7.75
"moderate","Entire home/apt",2008,238,1,42,5.94,3,28,1190,7.07070707070707,31
"strict","Private room",2017,221,3,4,0.11,1,183,1104,36.3636363636364,10.3333333333333
"flexible","Private room",2013,93,2,13,0.9,4,35,465,14.4444444444444,15.5
"strict","Entire home/apt",2012,76,3,3,0.48,2,0,380,6.25,10.3333333333333
"flexible","Private room",2008,123,2,34,2.63,2,331,617,12.9277566539924,15.5
"strict","Entire home/apt",2009,67,2,260,3.97,2,312,333,65.4911838790932,15.5
"moderate","Private room",2018,117,1,1,0.07,2,1,583,14.2857142857143,31
"strict","Entire home/apt",2021,229,1,30,1.1,1,35,1143,27.2727272727273,31
"strict","Private room",2009,102,2,10,0.48,2,0,509,20.8333333333333,15.5
"flexible","Entire home/apt",2014,224,1,6,0.19,1,0,1118,31.5789473684211,31
"strict","Private room",2018,136,1,21,6,4,244,681,3.5,31
"flexible","Private room",2011,15,1,408,8.56,5,0,74,47.6635514018692,31
"moderate","Private room",2013,116,3,191,2.61,1,207,581,73.1800766283525,10.3333333333333
"strict","Entire home/apt",2003,178,2,41,3.18,4,111,891,12.8930817610063,15.5
"flexible","Private room",2019,63,1,209,6.45,4,203,315,32.4031007751938,31
"strict","Private room",2003,57,2,153,2.17,2,139,284,70.5069124423963,15.5
"strict","Private room",2004,229,5,1,0.05,2,351,1147,20,6.2
"moderate","Private room",2013,117,1,113,2.33,2,345,583,48.4978540772532,31
"moderate","Entire home/apt",2011,207,4,2,0.07,2,0,1033,28.5714285714286,7.75
"flexible","Entire home/apt",2011,131,4,12,0.44,5,0,656,27.2727272727273,7.75
"flexible","Entire home/apt",2022,67,1,117,5.31,4,15,337,22.0338983050847,31
"flexible","Shared room",2021,206,3,9,0.45,3,0,1028,20,10.3333333333333
"strict","Entire home/apt",2006,142,30,6,0.16,5,313,708,37.5,1.03333333333333
"moderate","Private room",2007,191,10,1,0.06,2,2,956,16.6666666666667,3.1
"moderate","Entire home/apt",2018,16,4,3,1.11,3,15,78,2.7027027027027,7.75
"flexible","Private room",2009,227,4,1,1,4,24,1137,1,7.75
"strict","Private room",2020,184,2,85,2.73,2,171,918,31.1355311355311,15.5
"flexible","Entire home/apt",2014,139,3,2,2,5,103,693,1,10.3333333333333
"moderate","Entire home/apt",2008,96,3,6,0.51,5,76,481,11.7647058823529,10.3333333333333
"flexible","Entire home/apt",2012,220,4,26,1.68,4,92,1100,15.4761904761905,7.75
"strict","Entire home/apt",2019,66,4,46,0.5,4,418,328,92,7.75
"moderate","Entire home/apt",2005,52,5,6,0.21,1,0,258,28.5714285714286,6.2
"moderate","Entire home/apt",2017,41,1,5,0.13,4,177,205,38.4615384615385,31
"moderate","Entire home/apt",2014,172,5,29,0.98,5,0,862,29.5918367346939,6.2
"moderate","Shared room",2008,117,2,13,1.34,4,5,586,9.70149253731343,15.5
"strict","Private room",2014,81,1,1,0.04,4,0,403,25,31
"flexible","Entire home/apt",2017,78,7,27,0.62,4,0,391,43.5483870967742,4.42857142857143
"strict","Entire home/apt",2017,57,3,15,1.21,2,84,285,12.396694214876,10.3333333333333
"flexible","Entire home/apt",2004,14,30,14,0.16,2,249,70,87.5,1.03333333333333
"flexible","Private room",2011,37,2,26,1.18,5,364,184,22.0338983050847,15.5
"strict","Private room",2012,211,30,2,0.45,3,0,1054,4.44444444444444,1.03333333333333
"moderate","Private room",2012,48,30,3,0.26,4,288,238,11.5384615384615,1.03333333333333
"flexible","Private room",2005,176,1,1,1,3,23,882,1,31
"moderate","Private room",2003,183,2,1,0.03,3,50,915,33.3333333333333,15.5
"flexible","Private room",2011,172,2,3,0.86,3,188,859,3.48837209302326,15.5
"flexible","Private room",2011,186,1,1,0.03,1,0,931,33.3333333333333,31
"moderate","Entire home/apt",2010,10,1,60,3.05,4,317,52,19.672131147541,31
"moderate","Private room",2010,60,1,4,1.19,3,260,302,3.36134453781513,31
"moderate","Entire home/apt",2019,41,6,1,0.16,4,386,206,6.25,5.16666666666667
"moderate","Private room",2004,172,2,21,0.36,2,39,861,58.3333333333333,15.5
"strict","Private room",2020,53,2,27,0.72,3,320,266,37.5,15.5
"flexible","Entire home/apt",2005,58,2,3,0.24,3,0,291,12.5,15.5
"strict","Private room",2010,168,3,2,0.17,2,0,841,11.7647058823529,10.3333333333333
"moderate","Private room",2017,45,30,38,0.48,3,284,223,79.1666666666667,1.03333333333333
"strict","Private room",2017,149,7,8,0.73,2,310,747,10.958904109589,4.42857142857143
"moderate","Private room",2013,209,15,25,0.46,5,46,1043,54.3478260869565,2.06666666666667
"moderate","Entire home/apt",2006,144,3,1,1,2,334,722,1,10.3333333333333
"strict","Entire home/apt",2017,160,30,11,0.35,2,342,799,31.4285714285714,1.03333333333333
"flexible","Entire home/apt",2004,80,31,8,0.49,3,342,400,16.3265306122449,1
"flexible","Entire home/apt",2022,108,2,6,0.99,5,87,541,6.06060606060606,15.5
"flexible","Private room",2022,27,30,4,0.05,5,175,134,80,1.03333333333333
"moderate","Entire home/apt",2013,239,5,37,2.98,2,185,1197,12.4161073825503,6.2
"flexible","Private room",2015,161,15,7,0.13,2,289,803,53.8461538461538,2.06666666666667
"moderate","Private room",2010,216,1,40,2.15,4,146,1082,18.6046511627907,31
"moderate","Shared room",2007,95,1,46,1.38,2,0,476,33.3333333333333,31
"flexible","Shared room",2012,142,1,8,0.11,2,218,712,72.7272727272727,31
"moderate","Entire home/apt",2015,236,1,1,0.03,5,82,1179,33.3333333333333,31
"strict","Entire home/apt",2016,34,4,8,0.51,5,161,172,15.6862745098039,7.75
"strict","Entire home/apt",2010,32,7,50,0.66,3,196,162,75.7575757575758,4.42857142857143
"flexible","Entire home/apt",2018,236,29,1,0.3,2,58,1181,3.33333333333333,1.06896551724138
"strict","Entire home/apt",2022,57,1,27,6.59,3,133,283,4.09711684370258,31
"strict","Private room",2017,49,1,2,0.09,5,0,245,22.2222222222222,31
"strict","Entire home/apt",2004,89,3,6,0.25,4,0,447,24,10.3333333333333
"moderate","Private room",2004,38,3,10,0.39,5,180,190,25.6410256410256,10.3333333333333
"strict","Entire home/apt",2015,216,30,3,0.09,5,401,1081,33.3333333333333,1.03333333333333
"flexible","Entire home/apt",2013,104,9,2,0.11,4,0,519,18.1818181818182,3.44444444444444
"strict","Entire home/apt",2009,145,3,110,2.87,3,322,723,38.3275261324042,10.3333333333333
"moderate","Entire home/apt",2014,184,2,18,1.46,5,39,922,12.3287671232877,15.5
"strict","Entire home/apt",2017,13,1,36,4.62,5,301,64,7.79220779220779,31
"flexible","Entire home/apt",2022,71,3,14,0.15,5,138,357,93.3333333333333,10.3333333333333
"strict","Entire home/apt",2018,34,2,22,0.66,4,5,168,33.3333333333333,15.5
"moderate","Private room",2006,108,3,9,0.19,1,63,539,47.3684210526316,10.3333333333333
"strict","Entire home/apt",2012,36,1,35,3.37,3,35,182,10.3857566765579,31
"flexible","Private room",2022,146,1,22,1.33,5,36,732,16.5413533834586,31
"moderate","Entire home/apt",2008,37,4,3,0.58,4,320,183,5.17241379310345,7.75
"moderate","Entire home/apt",2020,29,3,11,0.84,3,3,144,13.0952380952381,10.3333333333333
"flexible","Private room",2009,94,1,85,1.15,1,30,472,73.9130434782609,31
"moderate","Entire home/apt",2011,20,60,2,0.04,1,267,98,50,0.516666666666667
"strict","Entire home/apt",2013,75,30,12,0.34,4,120,374,35.2941176470588,1.03333333333333
"strict","Entire home/apt",2013,114,30,2,0.16,3,34,570,12.5,1.03333333333333
"moderate","Entire home/apt",2016,141,2,31,0.42,3,0,705,73.8095238095238,15.5
"flexible","Private room",2019,71,2,53,1.64,1,324,357,32.3170731707317,15.5
"strict","Entire home/apt",2008,223,30,1,0.88,2,338,1117,1.13636363636364,1.03333333333333
"flexible","Private room",2019,130,2,181,5.42,2,52,648,33.3948339483395,15.5
"moderate","Private room",2016,190,1,28,0.67,5,123,949,41.7910447761194,31
"strict","Entire home/apt",2010,225,3,1,0.02,2,86,1126,50,10.3333333333333
"moderate","Entire home/apt",2012,143,1,87,2.28,1,28,715,38.1578947368421,31
"strict","Entire home/apt",2012,206,6,25,0.49,4,254,1029,51.0204081632653,5.16666666666667
"strict","Private room",2019,207,1,280,3.51,1,246,1034,79.7720797720798,31
"flexible","Entire home/apt",2010,158,2,15,3.17,2,207,791,4.73186119873817,15.5
"flexible","Private room",2022,87,3,177,2.69,4,317,433,65.7992565055762,10.3333333333333
"strict","Private room",2006,224,3,2,0.17,5,0,1121,11.7647058823529,10.3333333333333
"strict","Private room",2021,86,5,5,0.11,1,330,428,45.4545454545455,6.2
"moderate","Private room",2007,72,1,186,6.38,3,199,359,29.153605015674,31
"moderate","Entire home/apt",2003,93,2,144,2.78,2,225,467,51.7985611510791,15.5
"flexible","Entire home/apt",2007,222,30,12,0.39,4,68,1109,30.7692307692308,1.03333333333333
"strict","Private room",2020,238,2,8,2.53,2,26,1190,3.16205533596838,15.5
"strict","Entire home/apt",2015,25,1,2,0.06,3,0,127,33.3333333333333,31
"strict","Entire home/apt",2011,154,1,3,0.08,3,16,768,37.5,31
"strict","Entire home/apt",2014,35,4,18,0.52,3,0,176,34.6153846153846,7.75
"strict","Private room",2015,219,3,20,1.15,3,178,1095,17.3913043478261,10.3333333333333
"flexible","Entire home/apt",2009,220,39,25,0.35,1,245,1100,71.4285714285714,0.794871794871795
"moderate","Private room",2015,209,1,46,7.54,3,254,1047,6.10079575596817,31
"strict","Entire home/apt",2015,227,12,5,0.13,4,227,1135,38.4615384615385,2.58333333333333
"flexible","Entire home/apt",2019,40,1,11,7.5,2,280,202,1.46666666666667,31
"flexible","Entire home/apt",2011,59,3,2,0.06,5,0,296,33.3333333333333,10.3333333333333
"strict","Entire home/apt",2017,98,2,18,0.81,5,0,492,22.2222222222222,15.5
"strict","Private room",2015,231,1,18,3.33,4,362,1157,5.40540540540541,31
"strict","Private room",2015,34,2,220,2.85,4,410,171,77.1929824561403,15.5
"strict","Entire home/apt",2016,118,1,49,1.7,1,247,592,28.8235294117647,31
"flexible","Entire home/apt",2019,98,10,16,0.29,3,32,489,55.1724137931035,3.1
"moderate","Private room",2008,220,4,45,2.53,2,38,1100,17.7865612648221,7.75
"flexible","Entire home/apt",2006,195,7,20,0.71,1,23,976,28.169014084507,4.42857142857143
"flexible","Entire home/apt",2011,138,2,333,5.9,2,239,690,56.4406779661017,15.5
"moderate","Entire home/apt",2009,123,2,16,0.52,3,16,616,30.7692307692308,15.5
"moderate","Entire home/apt",2012,181,3,45,0.98,3,121,905,45.9183673469388,10.3333333333333
"moderate","Private room",2009,114,1,5,4.69,5,130,572,1.06609808102345,31
"strict","Entire home/apt",2006,155,30,6,0.12,5,310,777,50,1.03333333333333
"moderate","Entire home/apt",2011,230,3,1,0.16,2,0,1151,6.25,10.3333333333333
"moderate","Private room",2019,183,2,45,0.77,3,302,915,58.4415584415584,15.5
"flexible","Entire home/apt",2004,236,2,6,0.16,2,175,1178,37.5,15.5
"flexible","Private room",2020,33,1,9,0.31,3,9,163,29.0322580645161,31
"flexible","Private room",2021,119,3,287,2.36,3,306,593,121.610169491525,10.3333333333333
"strict","Private room",2012,208,1,23,2.46,5,347,1038,9.34959349593496,31
"flexible","Private room",2015,42,5,40,1.31,5,45,208,30.5343511450382,6.2
"strict","Entire home/apt",2010,78,4,10,1.29,2,365,389,7.75193798449612,7.75
"flexible","Entire home/apt",2008,124,2,2,2,3,335,622,1,15.5
"strict","Entire home/apt",2013,101,2,1,0.16,2,0,507,6.25,15.5
"strict","Entire home/apt",2022,143,2,29,1.1,2,1,715,26.3636363636364,15.5
"moderate","Private room",2011,102,5,5,0.88,2,184,509,5.68181818181818,6.2
"flexible","Entire home/apt",2004,163,2,58,1.5,1,279,815,38.6666666666667,15.5
"strict","Private room",2011,34,1,8,1.62,4,359,169,4.93827160493827,31
"moderate","Entire home/apt",2014,99,1,8,0.52,3,6,493,15.3846153846154,31
"moderate","Entire home/apt",2012,59,30,1,0.16,2,307,294,6.25,1.03333333333333
"strict","Entire home/apt",2013,170,2,2,0.66,5,164,850,3.03030303030303,15.5
"strict","Private room",2019,226,1,73,1.58,5,334,1132,46.2025316455696,31
"strict","Private room",2006,102,2,4,1.58,2,243,512,2.53164556962025,15.5
"flexible","Entire home/apt",2014,205,7,4,0.1,4,130,1024,40,4.42857142857143
"strict","Private room",2009,198,1,1,0.02,1,133,992,50,31
"strict","Private room",2012,211,2,3,0.11,3,0,1056,27.2727272727273,15.5
"moderate","Entire home/apt",2005,63,30,4,0.26,2,0,313,15.3846153846154,1.03333333333333
"moderate","Entire home/apt",2007,71,4,17,0.58,5,0,356,29.3103448275862,7.75
"strict","Entire home/apt",2020,106,2,3,0.16,4,0,530,18.75,15.5
"moderate","Private room",2012,134,5,3,0.27,3,32,671,11.1111111111111,6.2
"flexible","Private room",2014,21,1,9,0.42,4,81,104,21.4285714285714,31
"strict","Entire home/apt",2006,230,2,3,0.77,2,25,1152,3.8961038961039,15.5
"strict","Entire home/apt",2017,84,2,116,4.18,4,199,421,27.7511961722488,15.5
"strict","Entire home/apt",2015,132,1,1,0.54,2,217,659,1.85185185185185,31
"flexible","Entire home/apt",2010,43,1,89,3.42,2,157,217,26.0233918128655,31
"flexible","Private room",2021,117,1,209,7.18,5,252,585,29.108635097493,31
"moderate","Entire home/apt",2008,51,1,2,0.13,2,0,257,15.3846153846154,31
"strict","Entire home/apt",2019,28,7,5,0.11,4,331,139,45.4545454545455,4.42857142857143
"flexible","Entire home/apt",2015,70,2,32,2.02,3,47,350,15.8415841584158,15.5
"flexible","Entire home/apt",2013,202,1,13,1.04,3,0,1009,12.5,31
"strict","Entire home/apt",2003,100,2,1,0.02,4,0,501,50,15.5
"strict","Private room",2010,200,5,6,0.19,2,0,1002,31.5789473684211,6.2
"moderate","Private room",2006,91,7,11,0.42,1,230,455,26.1904761904762,4.42857142857143
"strict","Private room",2022,21,2,6,0.14,3,247,105,42.8571428571429,15.5
"moderate","Private room",2016,107,1,22,1.88,2,365,534,11.7021276595745,31
"flexible","Entire home/apt",2007,201,5,25,2.42,3,127,1003,10.3305785123967,6.2
"strict","Private room",2008,162,1,3,3,2,89,812,1,31
"strict","Private room",2010,13,1,1,0.03,5,0,67,33.3333333333333,31
"flexible","Entire home/apt",2019,163,31,23,0.62,1,180,815,37.0967741935484,1
"strict","Private room",2014,165,7,17,0.28,3,147,826,60.7142857142857,4.42857142857143
"moderate","Entire home/apt",2011,56,4,2,0.74,2,0,281,2.7027027027027,7.75
"flexible","Entire home/apt",2019,187,3,39,0.85,3,19,934,45.8823529411765,10.3333333333333
"strict","Entire home/apt",2016,66,4,9,0.42,4,291,332,21.4285714285714,7.75
"flexible","Private room",2010,118,2,80,1.49,4,286,590,53.6912751677852,15.5
"flexible","Entire home/apt",2005,147,2,16,0.67,2,0,737,23.8805970149254,15.5
"strict","Shared room",2019,149,4,4,1.46,5,166,743,2.73972602739726,7.75
"flexible","Private room",2003,176,2,12,0.21,5,158,878,57.1428571428571,15.5
"moderate","Entire home/apt",2003,140,1,42,2.11,2,28,702,19.9052132701422,31
"moderate","Entire home/apt",2017,207,2,21,3.28,3,335,1037,6.40243902439024,15.5
"flexible","Entire home/apt",2018,138,2,7,0.2,4,71,689,35,15.5
"moderate","Entire home/apt",2012,156,5,1,1,2,30,780,1,6.2
"flexible","Entire home/apt",2010,224,3,34,1.7,4,108,1122,20,10.3333333333333
"moderate","Private room",2021,164,5,1,0.1,2,48,822,10,6.2
"strict","Private room",2006,120,5,26,0.93,2,325,598,27.9569892473118,6.2
"flexible","Entire home/apt",2012,163,30,4,0.64,5,198,815,6.25,1.03333333333333
"moderate","Private room",2007,217,30,18,0.35,5,364,1085,51.4285714285714,1.03333333333333
"moderate","Private room",2006,91,2,5,0.19,2,350,454,26.3157894736842,15.5
"moderate","Entire home/apt",2003,188,1,1,0.21,5,90,940,4.76190476190476,31
"flexible","Shared room",2004,204,2,11,1.33,3,270,1020,8.27067669172932,15.5
"strict","Entire home/apt",2004,208,2,2,0.06,4,0,1041,33.3333333333333,15.5
"flexible","Entire home/apt",2008,174,4,5,0.53,5,1,868,9.43396226415094,7.75
"flexible","Private room",2010,238,1,1,0.02,4,364,1189,50,31
"flexible","Shared room",2007,95,100,2,0.18,3,320,476,11.1111111111111,0.31
"moderate","Private room",2020,103,1,21,0.5,2,218,515,42,31
"moderate","Entire home/apt",2020,209,7,84,1.65,4,248,1046,50.9090909090909,4.42857142857143
"strict","Entire home/apt",2019,50,29,5,0.54,3,39,249,9.25925925925926,1.06896551724138
"strict","Entire home/apt",2014,30,4,3,0.24,2,89,150,12.5,7.75
"moderate","Private room",2013,204,3,5,0.2,2,0,1020,25,10.3333333333333
"strict","Entire home/apt",2006,162,2,3,0.98,5,0,812,3.06122448979592,15.5
"strict","Entire home/apt",2012,211,3,42,3.82,4,100,1055,10.9947643979058,10.3333333333333
"moderate","Private room",2003,124,5,46,0.6,5,343,621,76.6666666666667,6.2
